Sample_Name;COSMIC_ID;Cancer_Type;Microsatellite_Instability_Status;Screen_Medium;Growth_Properties
PL-21;1330991;LAML;MSS/MSI-L;R;Suspension
QIMR-WIL;910545;LAML;MSS/MSI-L;D/F12;Suspension
SIG-M5;909715;LAML;MSS/MSI-L;D/F12;Suspension
THP-1;909771;LAML;MSS/MSI-L;R;Suspension
KARPAS-299;907273;;MSS/MSI-L;R;Suspension
SU-DHL-1;909742;;MSS/MSI-L;R;Suspension
SUP-M2;1331040;;MSS/MSI-L;R;Suspension
BALL-1;910705;;MSS/MSI-L;R;Suspension
KARPAS-231;1327774;;MSS/MSI-L;R;Suspension
KOPN-8;1330933;;MSS/MSI-L;R;Suspension
MHH-CALL-2;908132;;MSS/MSI-L;R;Suspension
MHH-PREB-1;908136;;MSI-H;R;Suspension
MN-60;908143;;MSI-H;D/F12;Suspension
NALM-6;908158;;MSI-H;R;Suspension
RCH-ACV;1330994;;MSS/MSI-L;R;Suspension
REH;909696;;MSI-H;R;Suspension
ROS-50;1331025;;MSS/MSI-L;R;Suspension
SUP-B8;910209;;MSS/MSI-L;R;Suspension
U-698-M;909777;;MSS/MSI-L;R;Suspension
A3-KAW;910935;DLBC;MSS/MSI-L;R;Suspension
A4-Fuk;910934;DLBC;MSS/MSI-L;R;Suspension
BC-1;910919;DLBC;MSS/MSI-L;R;Suspension
CRO-AP2;906807;DLBC;MSS/MSI-L;R;Suspension
CTB-1;949088;DLBC;MSS/MSI-L;R;Suspension
DB;906832;DLBC;MSS/MSI-L;R;Suspension
DOHH-2;906842;DLBC;MSS/MSI-L;R;Suspension
Farage;1297449;DLBC;MSS/MSI-L;R;Suspension
GRANTA-519;1303897;DLBC;MSS/MSI-L;D/F12;Suspension
JEKO-1;1327765;DLBC;MSS/MSI-L;R;Suspension
JSC-1;1327769;DLBC;MSS/MSI-L;R;Suspension
KARPAS-1106P;1327773;DLBC;MSS/MSI-L;R;Suspension
KARPAS-422;907274;DLBC;MSS/MSI-L;R;Suspension
MC116;907799;DLBC;MSS/MSI-L;R;Suspension
NU-DUL-1;1330982;DLBC;MSS/MSI-L;R;Suspension
OCI-LY-19;1330984;DLBC;MSS/MSI-L;D/F12;Suspension
RC-K8;1330995;DLBC;MSS/MSI-L;R;Suspension
RL;910861;DLBC;MSS/MSI-L;R;Suspension
SCC-3;910930;DLBC;MSS/MSI-L;R;Suspension
SLVL;1331032;DLBC;MSS/MSI-L;R;Suspension
SU-DHL-10;1331033;DLBC;MSS/MSI-L;R;Suspension
SU-DHL-16;1331034;DLBC;MSS/MSI-L;R;Suspension
SU-DHL-4;1331035;DLBC;MSS/MSI-L;R;Suspension
SU-DHL-5;1331036;DLBC;MSS/MSI-L;R;Suspension
SU-DHL-6;1331037;DLBC;MSS/MSI-L;R;Suspension
SU-DHL-8;1331038;DLBC;MSS/MSI-L;R;Suspension
TK;1331045;DLBC;MSS/MSI-L;R;Suspension
TUR;909773;DLBC;MSI-H;R;Suspension
VAL;1331048;DLBC;MSS/MSI-L;R;Suspension
WSU-DLCL2;1331050;DLBC;MSS/MSI-L;R;Suspension
BL-41;910706;;MSS/MSI-L;R;Suspension
CA46;910703;;MSS/MSI-L;R;Suspension
Daudi;906831;;MSS/MSI-L;R;Suspension
DG-75;906838;;MSI-H;R;Suspension
EB2;906846;;MSS/MSI-L;R;Suspension
EB-3;906847;;MSS/MSI-L;R;Suspension
GA-10;1303896;;MSS/MSI-L;R;Suspension
JiyoyeP-2003;907268;;MSS/MSI-L;R;Suspension
NAMALWA;908159;;MSS/MSI-L;R;Suspension
P32-ISH;1330987;;MSS/MSI-L;R;Suspension
Raji;909262;;MSS/MSI-L;R;Suspension
Ramos-2G6-4C10;910401;;MSS/MSI-L;R;Suspension
ST486;910906;;MSS/MSI-L;R;Suspension
BV-173;910710;LCML;MSS/MSI-L;R;Suspension
CML-T1;910951;LCML;MSS/MSI-L;D/F12;Suspension
EM-2;906855;LCML;MSS/MSI-L;R;Suspension
JURL-MK1;1327771;LCML;MSS/MSI-L;R;Suspension
K-562;905940;LCML;MSS/MSI-L;D/F12;Suspension
KCL-22;1330931;LCML;MSI-H;R;Suspension
KU812;907311;LCML;MSS/MSI-L;R;Suspension
LAMA-84;907783;LCML;MSS/MSI-L;R;Suspension
MEG-01;908126;LCML;MSS/MSI-L;R;Suspension
RPMI-8866;910544;LCML;MSS/MSI-L;R;Suspension
AMO-1;1295741;MM;MSS/MSI-L;R;Suspension
EoL-1-cell;906856;;MSS/MSI-L;R;Suspension
JJN-3;1327766;MM;MSS/MSI-L;D/F12;Suspension
KARPAS-620;1327775;MM;MSS/MSI-L;R;Suspension
MC-CAR;683665;MM;MSS/MSI-L;D/F12;Suspension
SKM-1;909722;;MSS/MSI-L;R;Suspension
HC-1;907044;;MSS/MSI-L;R;Suspension
MLMA;908142;;MSS/MSI-L;R;Semi-Adherent
Mo-T;908149;;MSS/MSI-L;D/F12;Suspension
HDLM-2;924110;;MSS/MSI-L;R;Suspension
HD-MY-Z;907050;;MSS/MSI-L;R;Adherent
Hs-445;1322218;;MSS/MSI-L;R;Suspension
KM-H2;909976;;MSS/MSI-L;R;Suspension
L-1236;1330935;;MSS/MSI-L;R;Suspension
L-428;907322;;MSS/MSI-L;R;Suspension
L-540;907323;;MSS/MSI-L;R;Suspension
RPMI-6666;909701;;MSS/MSI-L;R;Suspension
SUP-HD1;1331039;;MSS/MSI-L;R;Suspension
KY821;907300;LAML;MSS/MSI-L;R;Suspension
MV-4-11;908156;;MSS/MSI-L;D/F12;Suspension
RS4-11;909703;ALL;MSI-H;R;Suspension
697;906800;;MSS/MSI-L;R;Suspension
ALL-PO;910944;ALL;MSS/MSI-L;R;Suspension
